Sum of count3,
Row Labels,Total
Alabama,1070
Alaska,33
Arizona,355
Arkansas,944
California,526
Colorado,187
Connecticut,46
Delaware,10
District of Columbia,2
Florida,673
Georgia,933
Hawaii,8
Idaho,39
Illinois,22051
Indiana,7747
Iowa,397
Kansas,177
Kentucky,1226
Louisiana,529
Maine,18
Maryland,50
Massachusetts,108
Michigan,679
Minnesota,474
Mississippi,4296
Missouri,344
Montana,53
Nebraska,104
Nevada,103
New Hampshire,14
New Jersey,21
New Mexico,75
New York,97
North Carolina,295
North Dakota,31
Ohio,1121
Oklahoma,207
Oregon,40
Pennsylvania,181
Rhode Island,5
South Carolina,152
South Dakota,36
Tennessee,1090
Texas,937
Utah,53
Vermont,4
Virginia,269
Washington,156
West Virginia,202
Wisconsin,1647
Wyoming,29
Grand Total,49844
